model,checkpoint_epoch,num_users,recall@20,ndcg@20,mrr@20
SASRec,1,1681,0.000594883997620464,0.00016593869461697196,5.4080363420042185e-05
SASRec + metadata,2,1681,0.001189767995240928,0.0004582023524255323,0.00024786833234185997
DIF-SR,2,1681,0.007733491969066032,0.0023786048626296924,0.000970482764407949
DIF-SR + metadata,2,1681,0.008328375966686495,0.003194590943441365,0.0018348088789352744
