model,checkpoint_epoch,num_users,Recall@20,NDCG@20,MRR@20,Recall@50,Recall@100,NDCG@50,NDCG@100
SASRec,1,1681,0.00059488399762,0.00016593869461600002,5.4080363420042185e-05,0.001784651992861392,0.003569303985722784,0.000395491436506994,0.0007005376468177941
SASRec + metadata,2,1681,0.00118976799524,0.00045820235242500005,0.00024786833234100004,0.004759071980963712,0.007138607971445568,0.0011619795101012694,0.0015330073707600057
DIF-SR,2,1681,0.0077334919690660005,0.0023786048626290002,0.0009704827644070001,0.01189767995240928,0.01903628792385485,0.0032036261583546447,0.004325890371270218
DIF-SR + metadata,2,1681,0.008328375966686001,0.0031945909434410004,0.0018348088789350001,0.01903628792385485,0.032123735871505056,0.005306237833913116,0.0074130853886470146
