model,slice,Recall@20,NDCG@20
Corrected SASRec,short_history,0.006211180124223602,0.0031424069581904744
SASRec + Metadata,short_history,0.004140786749482402,0.001594695971899213
DIF-SR,short_history,0.006211180124223602,0.0024252713507786684
DIF-SR + Metadata,short_history,0.012422360248447204,0.005170372283793762
Corrected SASRec,multi_interest,0.014084507042253521,0.004590758152741503
SASRec + Metadata,multi_interest,0.0,0.0
DIF-SR,multi_interest,0.007922535211267605,0.002579451261618593
DIF-SR + Metadata,multi_interest,0.007042253521126761,0.0024984518357781477
