switch_bucket,model,users,recall20,ndcg20,mrr20,history_len,unique_product_types
0 switches,Corrected SASRec,421,0.004750593824228029,0.0024175357738859837,0.00166270783847981,1.0285035629453683,0.33966745843230406
0 switches,DIF-SR,421,0.004750593824228029,0.0012837917074932054,0.000395882818685669,1.0285035629453683,0.33966745843230406
0 switches,DIF-SR + Metadata,421,0.011876484560570071,0.0036136502467167997,0.0014362395789669787,1.0285035629453683,0.33966745843230406
0 switches,TopPopular,421,0.04513064133016627,0.01511253945771848,0.00723947140217924,1.0285035629453683,0.33966745843230406
1-2 switches,Corrected SASRec,397,0.017632241813602016,0.0064506784592752815,0.003323169384418224,9.6272040302267,2.455919395465995
1-2 switches,DIF-SR,397,0.010075566750629723,0.0034677588033990036,0.001755462890445851,9.6272040302267,2.455919395465995
1-2 switches,DIF-SR + Metadata,397,0.012594458438287154,0.005107300086068109,0.0032652985627500374,9.6272040302267,2.455919395465995
1-2 switches,TopPopular,397,0.030226700251889168,0.012798333426785831,0.008181502306167949,9.6272040302267,2.455919395465995
3+ switches,Corrected SASRec,863,0.011587485515643106,0.003654903723270059,0.0014994468644526583,16.803012746234067,3.9490150637311703
3+ switches,DIF-SR,863,0.008111239860950173,0.002411654948176672,0.0008896826104242096,16.803012746234067,3.9490150637311703
3+ switches,DIF-SR + Metadata,863,0.004634994206257242,0.0021102693950036185,0.0013711857860177674,16.803012746234067,3.9490150637311703
3+ switches,TopPopular,863,0.01853997682502897,0.006557004990387789,0.0034015530437042263,16.803012746234067,3.9490150637311703
