model,source_user_id,history_bucket,category_entropy_bucket,unique_category_count,category_entropy
SASRec,0880e833bc47d99acd5c7e38af42567820a28411e9dee00210f935a587b64f3a,11-20,high,10,2.2718685126965625
SASRec,089aa55b1d13f85c302ca0ac0a09cfa55bfdd030fcae02cc3ed34a2332267232,6-10,high,18,2.871476118054867
SASRec,08bc2e8112d12bcaa7f106b7f8650f892016e1ba51552773c8c0be25d007d2d4,1-5,mid,11,2.3693821196946763
SASRec,08d9e901566cc6c178118acb035686c37251942329455164e6484ff7b5f47606,21+,high,14,2.639057329615258
SASRec,0984b4eb6894b34d6061b14c3d9836c55720626e4c8aadce43c8a67ff311b9b2,11-20,high,15,2.685945324669788
SASRec,099a0dc3d31d20b3fa3b39fcd2bd134932fd193a655320d9769c6e249a30b616,21+,high,13,2.512658529529802
SASRec,09bc44d2b1e230e3459b766fe4190a26b55ba5d85c1236ad4da07260b51336f9,21+,high,16,2.772588722239781
SASRec,0a1064772faf108ecb90fe56b9b7384406e191bc870afbee0d3627998a015210,21+,high,18,2.871476118054867
SASRec,0a32916968a8893bd702eb1b5322ba51352df95f894db79b87bb92995a6a3e12,6-10,high,15,2.70805020110221
SASRec,0a35267c3bfdb5c2f21e7152881a0879a982bb7e72a506162e7f7b310c6e5413,21+,high,16,2.736339051105066
SASRec,0a660c6d0e77d5c61b5b01f828ab6a8f5a478172c49fa0560a78a281583e2aba,11-20,high,13,2.564949357461537
SASRec,0ab9088016c08efd38934059fc17731cad592330237a3d1a432bdae29a427b67,1-5,low,16,2.772588722239781
SASRec,0ac7a980793e983213d22e8f2b0ad2e7e807dab0884d9bccf1f5fb652ef511ac,21+,high,15,2.685945324669788
SASRec,0ad7c1637c84689cc1f3437db8187ac14431f4a9344f4dceeb064abfa83507be,21+,high,19,2.9444389791664403
SASRec,0b02a4ff787279bdf68aa12836630260d42890f43f061a3991416dac97443e08,1-5,low,16,2.772588722239781
SASRec,0b4664624f1ac87836c93e746b56734cefeec29f3dfe0641d849464bcde5fc98,1-5,high,14,2.599301927099795
SASRec,0b865fa2fdf640adc7ceac33bf16889c597af3b0a46f92b101a57f1b718f180d,1-5,mid,17,2.833213344056216
